,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
58,0,1,1,83,1,1,0.38,0.203,-13.076,0.928,0.0,0.104,0.249,73.77,3.0911166666666667,Summer,August,50's,C#,Major,4/4
59,1,4,3,84,3,4,0.715,0.882,-8.61,0.123,0.107,0.175,0.957,156.571,1.9893333333333334,Summer,August,50's,B,Minor,4/4
60,0,35,1,86,1,35,0.242,0.436,-7.528,0.658,0.0,0.324,0.345,69.182,2.56955,Summer,August,50's,F,Major,4/4
61,0,16,1,89,1,16,0.613,0.372,-13.051,0.785,0.00154,0.115,0.697,98.549,2.15555,Summer,August,50's,C,Major,4/4
62,0,5,1,91,1,5,0.694,0.771,-4.642,0.805,0.0,0.592,0.895,146.569,2.67245,Summer,August,50's,E,Minor,4/4
63,1,26,1,92,1,26,0.658,0.706,-9.076,0.686,2.18e-06,0.166,0.965,141.194,2.2737833333333333,Summer,August,50's,B,Major,4/4
64,1,14,1,93,1,14,0.7,0.195,-16.657,0.749,0.0,0.0472,0.58,101.858,2.47555,Summer,August,50's,C#,Major,4/4
65,0,33,1,95,1,33,0.677,0.569,-11.061,0.261,0.0,0.35,0.904,151.973,1.986,Summer,August,50's,F,Major,4/4
66,0,1,3,97,3,1,0.405,0.375,-11.879,0.856,6.52e-05,0.144,0.601,74.515,2.7472166666666666,Summer,August,50's,E,Major,4/4
67,0,1,2,100,2,1,0.517,0.42,-12.751,0.964,0.000265,0.096,0.675,89.702,2.098883333333333,Summer,August,50's,A,Minor,4/4
68,1,1,2,42,2,1,0.83,0.325,-13.681,0.514,0.00165,0.172,0.816,123.094,2.5653333333333332,Summer,August,50's,A,Major,4/4
69,1,26,2,43,2,26,0.587,0.34,-9.387,0.834,0.0,0.0955,0.526,90.523,2.3506666666666667,Summer,August,50's,D#,Major,4/4
70,0,5,3,51,3,5,0.586,0.545,-9.712,0.313,0.0,0.137,0.904,106.343,1.9566666666666668,Summer,August,50's,G,Major,4/4
71,0,28,1,58,1,28,0.754,0.463,-6.463,0.791,0.0,0.0965,0.947,119.271,2.5377833333333335,Summer,August,50's,Bb,Major,4/4
72,0,2,1,67,1,2,0.905,0.886,-9.336,0.543,0.000123,0.138,0.963,123.629,2.6148833333333332,Summer,August,50's,D#,Major,4/4
73,1,15,1,73,1,15,0.432,0.202,-14.518,0.908,0.0,0.181,0.641,100.082,2.342216666666667,Summer,August,50's,C,Major,3/4
74,0,13,1,76,1,13,0.438,0.514,-12.896,0.421,0.0,0.908,0.725,86.967,2.1022166666666666,Summer,August,50's,G,Major,4/4
75,0,26,2,81,2,26,0.584,0.293,-15.093,0.846,1.05e-06,0.101,0.384,93.927,2.44,Summer,August,50's,D#,Major,3/4
76,0,14,1,85,1,14,0.699,0.596,-10.72,0.624,0.0,0.352,0.906,118.888,2.382216666666667,Summer,August,50's,D#,Minor,4/4
77,0,28,1,86,1,28,0.616,0.565,-10.057,0.765,0.0,0.0679,0.932,152.883,2.1622166666666667,Summer,August,50's,D#,Major,4/4
78,0,1,1,88,1,1,0.537,0.664,-8.963,0.644,0.86,0.0904,0.841,163.117,2.104,Summer,August,50's,F,Major,4/4
79,0,6,1,94,1,6,0.514,0.922,-6.554,0.574,0.918,0.166,0.775,178.907,2.220666666666667,Summer,August,50's,C,Major,4/4
80,0,6,1,95,1,6,0.421,0.749,-10.836,0.269,0.885,0.12,0.919,168.637,2.342216666666667,Summer,August,50's,F,Major,4/4
81,0,10,1,96,1,10,0.602,0.794,-7.551,0.846,0.00174,0.0797,0.608,110.829,2.407366666666667,Summer,August,50's,A,Minor,4/4
82,0,26,1,99,1,26,0.546,0.271,-15.045,0.753,8.81e-05,0.139,0.3,79.262,2.6548833333333333,Summer,August,50's,F,Major,4/4
83,0,9,1,52,1,9,0.496,0.273,-13.036,0.58,0.00146,0.0736,0.566,87.025,2.4728833333333333,Summer,August,50's,A,Major,4/4
84,0,3,1,60,1,3,0.546,0.282,-7.676,0.786,0.0,0.222,0.444,71.449,2.7882166666666666,Summer,August,50's,C#,Major,4/4
85,1,8,2,67,2,8,0.768,0.158,-14.752,0.678,0.69,0.0833,0.545,122.817,2.7857833333333333,Summer,August,50's,G,Major,4/4
86,0,10,1,71,1,10,0.374,0.201,-16.257,0.133,0.0,0.13,0.36,65.643,2.25045,Summer,August,50's,G,Major,4/4
87,0,1,2,74,2,1,0.656,0.563,-6.844,0.625,0.0,0.0521,0.966,204.346,1.97355,Summer,August,50's,F,Major,4/4
88,0,2,1,81,1,2,0.537,0.945,-5.634,0.63,5.25e-06,0.281,0.959,79.049,2.407783333333333,Summer,August,50's,F,Major,4/4
89,0,1,1,88,1,1,0.752,0.613,-9.223,0.208,0.0,0.409,0.922,130.679,2.4082166666666667,Summer,August,50's,F,Major,4/4
90,0,2,4,90,4,2,0.37,0.383,-8.061,0.847,0.0,0.12,0.698,195.777,2.7617833333333333,Summer,August,50's,G#,Major,3/4
91,0,1,1,91,1,1,0.395,0.287,-13.724,0.764,0.00979,0.567,0.427,95.21,2.8999333333333333,Summer,August,50's,F#,Major,3/4
92,0,2,1,94,1,2,0.65,0.358,-11.93,0.879,4.43e-05,0.117,0.831,112.048,1.9188833333333333,Summer,August,50's,B,Minor,4/4
93,0,1,1,98,1,1,0.731,0.434,-9.937,0.59,0.0,0.0647,0.856,92.85,2.6851166666666666,Summer,August,50's,Bb,Minor,4/4
94,0,1,1,100,1,1,0.516,0.196,-13.949,0.94,0.0,0.141,0.413,73.8,4.23755,Summer,August,50's,D#,Major,4/4
