,False Positive Rate,True Positive Rate,Threshhold
97,0.03196022727272727,0.21068702290076335,0.7832891079968701
98,0.03196022727272727,0.21221374045801528,0.7817983887263973
99,0.03231534090909091,0.21221374045801528,0.7815763250465386
100,0.03231534090909091,0.216793893129771,0.7807111255888983
101,0.032670454545454544,0.216793893129771,0.7803953793670191
102,0.032670454545454544,0.2183206106870229,0.7802818786008855
103,0.033735795454545456,0.2183206106870229,0.7782488155858042
104,0.033735795454545456,0.22137404580152673,0.7778736350512043
105,0.03444602272727273,0.22137404580152673,0.777475885607364
106,0.03444602272727273,0.22442748091603054,0.7756078497209912
107,0.03586647727272727,0.22442748091603054,0.7743457364948504
108,0.03586647727272727,0.22595419847328244,0.7742642240840881
109,0.03870738636363636,0.22595419847328244,0.7700244502917634
110,0.03870738636363636,0.22900763358778625,0.769529624073705
